DAURAM MADHEPURA,21
DEHRA DUN,20421
DEHRI-ON-SON,1007
DEKARGAON,768
DELHI JN.,26686
DELHI-SAFDAR JANG,6737
DELHI-SARAI ROHILLA,17699
DELVADA,254
DEOGHAR,331
DERABABA NANAK,188
DEVANHALLI,33
DEVLALI,262
DHAMTARI,150
DHANAURI,78
DHANBAD JN.,9330
DHARMABAD,419
DHARMANAGAR,395
DHARMAPURI,150
DHARMAVARAM JN.,619
DHARWAD,1395
DHASA JN (MG),586
DHOLA JN,152
DHOLPUR (NG),128
DHONE JN,333
DHRANGADHRA,278
DHUBRI,571
DHULE,168
DHURI JN.,419
DIAMOND HARBOUR,1552
DIBRUGARH,27417
DIBRUGARH TOWN,5225
DIGHA FS,4192
DIGHA GHAT,25
DILDARNAGAR JN,107
DIMAPUR,653
DINDIGUL JN,370
DINHATA,210
DIVA JN,846
DOHRIGHAT,140
DOMBIVLI,156
DOMBIVLI CTL,86
DONGAR GARH,564
DORNAKAL JN.,281
DULLABCHERRA,172
DUM DUM JN.,92
DUMDUM CANTONMENT,12
DUMKA,653
DURAUNDHA JN,107
DURG,18468
DURGAPUR,42
EDAMANN,406
ENNORE,51
ERNAKULAM. JN,39717
ERODE JN.,2980
ETAH,146
ETAWAH,726
FAIZABAD JN.,7650
FALAKNUMA,1810
FARRUKHABAD JN,1700
FARUKHNAGAR,379
FATEHPUR,77
FATEHPUR-SHEKHAWATI,47
FATUHA,252
FAZILKA JN.,1903
FIROZPUR CANTT JN.,9157
FURKATING JN.,233
GADAG JN.,299
GADWAL,57
GAJRAULA JN.,265
GANDHIDHAM JN.,19276
GANDHIGRAM,616
GANDHINAGAR CAPITAL,689
GARBETA,380
GARHI HARSARU JN.,22
GARWA ROAD JN.,204
GAYA JN.,8974
GEDE,1698
GEVRA-ROAD,1228
GHATSILA,214
GHAZIABAD JN.,1074
GHAZIPUR CITY,6782
GIRDIH,185
GOBARDANGA,215
GODHRA JN.,306
GONDA JN.,2181
GONDIA JN.,6869
GORAKHPUR JN.,55951
GRAM MASAGRAM,565
GUA,294
GUDIVADA JN.,608
GUDUM,104
GUDUR JN.,1273
GULBARGA,808
GUMMIDIPUNDI,1490
GUNA,236
GUNTAKAL JN.,1965
GUNTUR JN.,4283
GUNUPUR,1531
GURAP,58
GURUVAYUR,1936
GUWAHATI,36607
GWALIOR (NG),370
GWALIOR JN,6019
HABIBGANJ,3404
HABRA,384
HAIBARGAON,100
HAJIPUR JN.,513
HALDIA,4047
HALDIBARI,826
HANSDIHA,254
HANUMANGARH JN.,134
HAPA,5815
HARI PAL,44
HARIDWAR JN,14963
HARIHAR JN.,425
HASANABAD,1562
HASSAN JN.,211
HATHRAS JN.,5
HATHRAS QILAH,166
HATIA,18591
HAZARIBAGH ROAD,124
HAZRAT NIZAMUDDIN JN,92716
HIJLI,16
HINDUPUR,295
HISAR JN,5975
HOSHIARPUR,783
HOSPET JN.,516
HOSUR,122
HOWRAH JN.,138471
HUBLI JN.,13645
HUMNABAD,52
HYDERABAD DECCAN,29006
IDGAH,398
IGATPURI,123
INDARA JN.,136
INDORE BG,32109
ISLAMPUR,1283
ITARSI,2462
ITWARI JN.,2178
JABALPUR,23124
JAGADALPUR,2613
JAGITYAL,130
JAIJON DOABA,261
JAIPUR JN.,37996
JAISALMER,7261
JAJPUR KEONJHAR ROAD,226
JAKHAL JN.,327
JAKLAIR,52
JALANDHAR CITY JN.,2515
JALNA,977
JAMALPUR JN.,2164
JAMMU TAWI,38186
JAMNAGAR,5861
JANGAON,96
JANGIPUR ROAD,261
JASIDIH JN.,2583
JAUNPUR JN.,590
JAWALAMUKHI ROAD,104
JAYNAGAR,14737
JETALSAR JN (MG),208
JHAJHA,2446
JHALAWAR CITY,255
JHANSI JN,4801
JHARGRAM,1026
JHARSUGUDA JN.,961
JIND JN,2180
JIRIBAM,56
JODHPUR JN.,23372
JOGBANI,2770
JOGINDER NAGAR,428
JOLARPETTAI JN,1039
JORHAT TOWN,551
JUNAGADH JN,292
JUNAGARH ROAD,505
KABAKA PUTTUR,98
KACHEGUDA,16585
KADAMBATTUR,220
KAKINADA PORT,7783
KAKINADA TOWN,5926
KALIANPUR,170
KALKA,6628
KALYAN JN,5694
KALYANI SIMANTA,933
KAMAKHYA JN,31665
KANALUS,114
KANCHIPURAM,190
KANKURGACHHI ROAD JN.,55
KANNIYAKUMARI,18660
KANNUR,3408
KANPUR ANWARGANJ,890
KANPUR CENTRAL JN.,12601
KAPTANGANJ JN.,137
KARAIKAL,3585
KARAIKKUDI,730
KARIM NAGAR,2590
KARJAT,1395
KARMALI,3567
KARUR JN.,320
KASARA,1206
KASARAGOD,182
KASGANJ JN.,2467
KASHIPUR JN,247
KATANGI,435
KATHANA,124
KATHGODAM,5437
KATIHAR JN.,6659
KATNI,1858
KATNI MURWARA,520
KATPADI JN,894
KATWA JN.,3243
KAWAR,174
KAWR,1147
KAYANKULAM JN,357
KAZIPET JN.,5279
KENDRI,175
KENDUJHAR,214
KHAGARIA JN.,56
KHAJAURAHO,2151
KHAMBHAT,408
KHANDWA JN. (CR),64
KHANODIH,40
KHARAGPUR,5972
KHEM KARAN,298
KHIJADIYA JN,133
KHURDA ROAD JN.,582
KHURJA JN,467
KIRANDUL,942
KISHANGANJ,1921
KIUL JN.,992
KOCHUVELI,26742
KODERMA,574
KODINAR,70
KOLAGHAT,54
KOLAR,473
KOLKATA,34284
KONCH,65
KORAPUT JN.,1852
KORBA,4930
KOSI KALAN,393
KOT KAPURA JN,160
KOTA,9818
KOTDWARA,357
KOTIPALLI,44
KOTTAYAM,310
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),39480
KRISHNA NAGAR CITY JN.,2328
KRISHNA RAJA PURAM,2138
KULEM,183
KUMBAKONAM,39
KUPPAM,238
KURDUVADI JN.,189
KURLA,148
KURNOOL TOWN,973
KURSEONG,60
KURUKSHETRA JN.,1659
KUSUNDA,3
KWAKDWIP,33
LAKSHMIKANTAPUR,2119
LALGARH JN.,708
LALGOLA,3033
LALGUDI,26
LALKUA JN.,2776
LANJI GARH ROAD,54
LEDO,826
LINGAMPALLI,1661
LOHARDAGA  BS,201
LOHIAN KHAS JN.,308
LOKMANYA TILAK TERMINUS,105781
LONAVLA,1132
LONDA JN.,188
LUCKNOW JN.,34575
LUDHIANA JN.,2815
LUMDING JN.,965
MACHERLA,437
MACHILIPATNAM,2559
MADANMAHAL,121
MADAR JN,2310
MADGOAN JN.,12767
MADHUPUR JN.,190
MADHYAM GRAM,53
MADURAI JN,14395
MAGRAHAT,39
MAHARAJGANJ,30
MAHBUBABAD,289
MAHBUBNAGAR,444
MAHESANA JN,474
MAHOBA,189
MAHUVA,2785
MAILANI JN.,1643
MAIRABARI,160
MAISHASHAN,120
MAJERHAT,711
MAJHOLA PAKARIYA,75
MAKRANA JN.,42
MAKSI JN,74
MALDA COURT,492
MALDA TOWN,11219
MALIYA MIYANA JN.,47
MANAMADURAI,150
MANANWALA,111
MANDSOR,276
MANDUADIH,7723
MANENDRAGARH,143
MANGALORE CENTRAL,20565
MANGALORE JN,2903
MANIKPUR JN.,1121
MANKAPUR JN.,324
MANMAD JN.,2868
MANNARGUDI,4215
MANOHARABAD,160
MANUGURU,891
MARIANI JN.,559
MARIKUPPAM,627
MARKAPUR ROAD,143
MARWAR JN.,543
MASAGRAM,288
MATHURA JN.,4767
MAU JN.,1259
MAVLI JN.,404
MAYILADUTURAI JN.,2386
MECHEDA,641
MEDCHAL,444
MEERUT CANT,160
MEERUT CITY JN.,1616
MELMARUVATHUR,162
MEMARI,366
MENDIPATHAR,126
MERTA CITY,126
MERTA ROAD JN.,839
METTUPALAIYAM JN.,714
METTUR DAM,139
MHOW,1776
MIDNAPORE,2201
MIRAJ JN.,2353
MIRYALAGUDA,367
MIRZAPALI,191
MODASA,208
MOGA,397
MOKAMA JN.,931
MOOR MARKET,6968
MORADABAD JN.,2319
MORVI,187
MUGHAL SARAI JN.,1893
MUMBAI CENTRAL,20773
MUMBAI VADALA ROAD,646
MUNABAO,442
MURI,381
MURKEONG SELEK,1837
MUZAFFARPUR JN.,20421
MYSORE JN.,27030
NABADWIP DHAM,224
NADIAD JN.,208
NADIKUDE JN.,35
NAGAPPATTINAM,20
NAGARSOL,5310
NAGBHIR JN.,416
NAGDA JN,811
NAGERCOIL JN.,15471
NAGORE,154
NAGPUR JN.(CR),15719
NAHARLAGUN,2791
NAIHATI JN.,1337
NAINPUR JN.,366
NAJIBABAD JN.,491
NAKAHA JUNGLE,671
NAKODAR JN.,124
NALHATI JN.,44
NAMKHANA,768
NANDED,20145
NANDYAL,451
NANGAL DAM,2831
NANJANGUD TOWN,25
NARASAPUR,4802
NARKATIAGANJ JN.,1690
NARKHER,1178
NARWANA JN.,33
NATHDWARA,1126
NAUTANWA,2859
NAYAGARHTOWN,130
NELLORE,410
NEPALGANJ ROAD,162
NERUL,560
NEW ALIPUR (CALCUTTA),51
NEW ALIPURDUAR,1434
NEW AMRAVATI,108
NEW BHUJ,10208
NEW BONGAIGAON  JN.,1206
NEW COOCH BEHAR,873
NEW DELHI,93664
NEW JALPAIGURI JN,12389
NEW TINSUKIA JN,4212
NIDADAVOLU JN.,215
NILAMBUR ROAD,613
NIMACH,396
NIMTITA,181
NIZAMABAD,4406
NORTH LAKHIMPUR,153
NSC BOSE J GOMO,1437
OKHA,25357
OLD MALDA,24
ONGOLE,536
PALAKKAD JN,1736
PALANI,298
PALANPUR JN,1006
PALASA,1139
PALASDARI,363
PALGHAT TOWN,332
PALITANA,975
PALLAVARAM,23
PALWAL,1221
PANDHARPUR,2303
PANIPAT JN.,1174
PANKI,86
PANSKURA,955
PANVEL,4110
PARADEEP,1459
PARBHANI JN.,58
PARLI VAIJNATH,1134
PARTAPGARH JN.,3807
PARVATSAR CITY,21
PATAN,489
PATHANKOT JN.,3498
PATIALA,53
PATLIPUTRA,5678
PATNA GHAT,29
PATNA JN.,37629
PATTABIRAM E DEPOT,659
PATTABIRAM EAST CABIN,29
PEDDAPALLI,224
