ANUPPAMBATTU,78
ANUPPUR JN.,72
ANVARDIKANPE,14
AONLA,28
APPIKATLA,14
APTA,8
ARA,113
ARABAGATTA,6
ARAG,8
ARAKKONAM JN,227
ARAKKONAM NO,7
ARAKKONAM WE,2
ARAKU,4
ARALAGUPPE,10
ARALVAYMOLI,10
ARAMBAG,25
ARAMBAKKAM,34
ARAND,6
ARANGHATA,38
ARANGMAHANAD,6
ARAON,4
ARARIYA,15
ARARIYA COUR,19
ARASALU,4
ARAUL MAKANP,9
ARAVALI ROAD,6
ARAVALLI,12
ARAVANKADU,8
ARCHIPATHAR,8
ARELI (HALT),7
AREPALLI HAL,6
ARGORA  PH,7
ARGUL,10
ARIGADA,4
ARIYALUR,30
ARJANSAR,6
ARJUNAHALLI,6
ARJUNI,10
ARKHA HALT,4
ARMOOR,2
ARNEJ,10
ARNETHA,6
ARNI ROAD,16
ARNIYA,6
ARSENI,4
ARSIKERE JN.,91
ARTALAKATTA,2
ARTS COLLAGE,99
ARUMUGANERI,14
ARUN NAGAR H,8
ARUNACHAL,14
ARUPPUKKOTTA,6
ARUR H.,8
ASAFPUR,12
ASAIPUR JOBN,19
ASALODA,12
ASAN,6
ASANBONI,16
ASANGAON,78
ASANSOL MAIN,263
ASAOTI,48
ASARANADA,8
ASAUDAH,26
ASHAPURA GOM,12
ASHAPURNA DE,5
ASHOK NAGAR,36
ASHOKAPURAM,12
ASHOKNAGAR R,91
ASHTEGAON,4
ASIFABAD ROA,12
ASIRGARH ROA,4
ASLANA,8
ASLU,8
ASNOTI,8
ASOKHAR,6
ASPARI,2
ASRA HALT,18
ASTHAL BOHAR,31
ASVALI,4
ASWAPURAM,4
ATA,4
ATAMANDA,8
ATARI JN,8
ATARRA,19
ATELI,8
ATGAON,38
ATHMAL GOLA,32
ATHSARAI,2
ATRAMPUR,4
ATRAULI ROAD,8
ATRAURA (HAL,9
ATRU,4
ATTABIRA,8
ATTILI,26
ATTIPATTU,102
ATTIPATTU PU,101
ATTUR,12
ATUL,16
ATWA KURSATH,4
ATWA MUTHIA,4
AUJURI,4
AULENDA,8
AUNG,7
AUNLAJORI JN,2
AUNRIHAR JN.,76
AURANG NAGAR,10
AURANGABAD,68
AUSA ROAD,4
AUVANEESWARA,16
AUWA,4
AVADI,291
AVATIHALLI,4
AVIDHA,2
AWA GARH,4
AWANTIPURA,22
AWAPUR F,1
AWASANI,8
AWATARNAGAR,12
AYANDUR,1
AYODHYA,58
AYODHYAPATTI,8
AYYALUR,6
AYYAMPET,12
AZAMGARH,34
AZAMNAGAR RO,21
AZARA,8
AZHWARKURUCH,8
AZIMGANJ  CI,30
AZIMGANJ JN.,80
B G NAGAR,8
BAAD,6
BABA BAKALA,6
BABA LAKSHMA,4
BABAGANJ HAL,6
BABARPUR,11
BABATPUR,27
BABHAN GAON,6
BABHANJYOTIY,6
BABHNAN,26
BABINA,28
BABLAD,7
BABRALA,12
BABUGARH,6
BABUPETH,4
BABUPUR (HAL,7
BACHELI,4
BACHHARPUR H,1
BACHHRAWN,34
BACHWARA JN.,42
BADA PADAGAO,6
BADABANDHA R,8
BADAKHANDITA,4
BADALPUR PH,5
BADAMI,19
BADAMPAHAR,2
BADAMPUDI,10
BADANAGUPPE,8
BADARPUR JN.,31
BADARWAS,10
BADAUN,14
BADAUSA,3
BADDOWAL,10
BADEARAPUR,2
BADHADA,2
BADHAI BALAM,9
BADHAL,6
BADHARI KALA,6
BADKULLA,56
BADLA GHAT,18
BADLAPUR,147
BADLI,24
BADMAL,14
BADNAPUR,17
BADNERA JN.,122
BADODAR,8
BADSHAHNAGAR,41
BADSHAHPUR,16
BADULIPAR,4
BADWASI,4
BAGADIA  PH,4
BAGAHA,34
BAGAHA BISHN,8
BAGAHAI ROAD,6
BAGALIA,24
BAGALKOT,26
BAGARPUR HAL,6
BAGAVATHIPUR,2
BAGBAHRA,20
BAGDIHI,20
BAGDOGRA,12
BAGESHPURA,6
BAGEWADI H,10
BAGH BAZAR,27
BAGHAULI,12
BAGHMARA HAL,8
BAGHNAPARA,40
BAGHOIKUSA,10
BAGHORA,8
BAGHPAT ROAD,24
BAGILA,62
BAGMAR,4
BAGNAN,122
BAGRAKOT,8
BAGRATAWA,13
BAGRI NAGAR,4
BAGTHAR,2
BAGULA,38
BAGUMRA,5
BAGWADA,6
BAGWALI,6
BAH,2
BAHADUR SING,14
BAHADURGARH,59
BAHADURPUR,26
BAHAI HALT,10
BAHALDA ROAD,2
BAHANAGA BAZ,12
BAHARU F,56
